case,sample,target_removed_fraction,node_relerr_vs_ref,VI_bits_vs_ref,top1_absdiff_vs_ref,gini_absdiff_vs_ref
soft_early,healthy_reference,0.55,0.0007351589781290203,0.16714530968781816,0.0026223059903302537,0.0001946757276598543
soft_early,alzheimers,0.05,0.0,0.0,0.0,0.0
soft_early,alzheimers,0.1,0.00501816923343139,0.013583791705524817,0.0010232454676899205,0.004301254892339346
soft_early,alzheimers,0.2,0.010259572798116276,0.08455688985257837,0.004248693137582027,0.0070482556104294325
soft_early,alzheimers,0.4,0.0009763791355289346,0.3226171719638309,0.009120231342453544,0.00017091562998450271
soft_early,alzheimers,0.55,0.00089721862227096,0.7823798507486508,0.0015793571349126956,0.00012851316017004066
soft_early,gbm_reference_addon,0.05,0.0,0.0,0.0,0.0
soft_early,gbm_reference_addon,0.1,0.005028267014568384,0.014090149110078443,0.0016142050040355155,0.004348592230104753
soft_early,gbm_reference_addon,0.2,0.010294344274926799,0.08894129802326844,0.00435346198058062,0.0072431153683636396
soft_early,gbm_reference_addon,0.4,0.0009909984309191512,0.5532967197550072,0.009244992295839749,0.00017648729856767353
soft_early,gbm_reference_addon,0.55,0.0010412670575985093,1.1315568552639235,0.008242228581211652,0.0010856734774822296
soft_late,healthy_reference,0.05,0.0,0.0,0.0,0.0
soft_late,healthy_reference,0.1,0.0,0.0,0.0,0.0
soft_late,healthy_reference,0.2,0.00506198347107438,0.04008838881256338,0.0013111529951651268,0.0036732730560160576
soft_late,healthy_reference,0.4,0.010590434000138437,0.09661704169375795,0.005408506105056138,0.005289768446370191
soft_late,healthy_reference,0.55,0.0007351589781290203,0.22348515952287684,0.004261247234286669,2.353496927165466e-05
soft_late,alzheimers,0.05,0.0,0.0,0.0,0.0
soft_late,alzheimers,0.1,0.0,0.0,0.0,0.0
soft_late,alzheimers,0.2,0.005073723159724169,0.04490132969258198,0.002713824936047146,0.003502070179448591
soft_late,alzheimers,0.4,0.01077772353449247,0.31308666449917766,0.02010899788677567,0.003739239303172326
soft_late,alzheimers,0.55,0.00104675505931612,0.7210263458799346,0.005739072405739065,0.00012642980549437688
soft_late,gbm_reference_addon,0.05,0.0,0.0,0.0,0.0
soft_late,gbm_reference_addon,0.1,0.0,0.0,0.0,0.0
soft_late,gbm_reference_addon,0.2,0.005085529357374018,0.044575810683134875,0.00034240712206815016,0.003703091853171303
soft_late,gbm_reference_addon,0.4,0.010694524733669171,0.585191535834582,0.010736909041993814,0.004788787851924381
soft_late,gbm_reference_addon,0.55,0.0007672494108620596,1.0473451378842675,0.003595274781715452,0.0002002419324320659
